player_id, season, club_id , league                 , position, appearances, minutes, goals, xg                   , np_goals, np_xg                , assists, xa                    , shots, key_passes, xg_chain             , xg_buildup
     6030,   2324,      244, ENG-Premier League     , D S     ,          14,    1082,     1,  0.6000314559787512  ,        1,  0.6000314559787512  ,       0,  0.9500103443861008   ,     8,          6,  4.571010607294738   ,  3.7045516846701503
      486,   2324,      220, ENG-Premier League     , M S     ,          25,     875,     0,  0.7641588356345892  ,        0,  0.7641588356345892  ,       1,  1.4911685585975647   ,    11,         15,  4.825282486155629   ,  2.9767271457239985
     7699,   2324,      220, ENG-Premier League     , D S     ,          15,    1146,     0,  0.4553392454981804  ,        0,  0.4553392454981804  ,       0,  0.21061718463897705  ,     8,          5,  6.527007706463337   ,  6.405847318470478
     7967,   2324,      220, ENG-Premier League     , F M S   ,          19,     456,     2,  3.8195773735642433  ,        2,  3.8195773735642433  ,       0,  0.6551500093191862   ,    26,          6,  5.572026334702969   ,  1.621451124548912
    11711,   2324,      220, ENG-Premier League     , GK      ,          21,    1890,     0,  0.0                 ,        0,  0.0                 ,       0,  0.0                  ,     0,          0,  3.662125539034605   ,  3.662125539034605
    12204,   2324,      220, ENG-Premier League     , S       ,           5,      22,     0,  0.020216230303049088,        0,  0.020216230303049088,       0,  0.09631666541099548  ,     1,          1,  0.26968415826559067 ,  0.1531512588262558
     7988,   2324,      220, ENG-Premier League     , M S     ,          30,    2154,     0,  0.7286842339672148  ,        0,  0.7286842339672148  ,       1,  2.0903379926458      ,    25,         22, 17.74679738096893    , 16.257044926285744
    10527,   2324,      220, ENG-Premier League     , M S     ,          27,    1303,     0,  0.7727098371833563  ,        0,  0.7727098371833563  ,       0,  0.44668083963915706  ,    21,          8,  5.224796708673239   ,  4.549104126170278
      501,   2324,      220, ENG-Premier League     , F M S   ,          29,    1723,     5,  6.242080001160502   ,        5,  6.242080001160502   ,       1,  2.18816620670259     ,    40,         22, 13.546813283115625   ,  7.474573427811265
     5136,   2324,      220, ENG-Premier League     , D S     ,          19,    1239,     2,  1.034091948531568   ,        2,  1.034091948531568   ,       3,  3.28635298833251     ,    11,         26,  8.131439451128244   ,  5.950095744803548
    10177,   2324,      220, ENG-Premier League     , F S     ,          27,    1364,     6,  3.9660524409264326  ,        6,  3.9660524409264326  ,       0,  0.6511713527143002   ,    33,          6,  6.868808541446924   ,  2.484281620942056
    11362,   2324,      220, ENG-Premier League     , F M S   ,          27,    1408,     3,  2.974676702171564   ,        3,  2.974676702171564   ,       1,  2.304281622171402    ,    21,         19,  6.951848786324263   ,  3.328327503055334
