player_id,name,pos,mins,min_per_app,shots,shot_rate_raw,shot_rate,on_target_rate,sot_per90,p_1plus_sot,p_2plus_sot
6820,David Brooks,MF,2369.0,32.5,86.0,3.267,3.052,0.339,1.034,0.645,0.277
11046,Abdallah Sima,FW,1922.0,40.0,68.0,3.184,3.045,0.339,1.032,0.644,0.276
8187,Georges Mikautadze,FW,5499.0,61.8,189.0,3.093,3.045,0.339,1.032,0.644,0.276
5232,Alexander Isak,FW,5844.0,74.9,194.0,2.988,2.948,0.349,1.03,0.643,0.275
14198,Shea Lacey,FW,31.0,10.3,4.0,11.613,3.04,0.339,1.03,0.643,0.275
14109,Dmytro Bogdanov,FW,2.0,1.0,3.0,135.0,3.035,0.339,1.028,0.642,0.275
11094,Antony,FW,5315.0,61.8,182.0,3.082,3.032,0.339,1.028,0.642,0.274
3918,Ivan Prtajin,FW,151.0,30.2,8.0,4.768,3.031,0.339,1.027,0.642,0.274
12373,Shio Fukuda,FW,64.0,5.8,5.0,7.031,3.016,0.339,1.022,0.64,0.272
2275,Ángel Correa,FW,2223.0,35.3,77.0,3.117,3.004,0.339,1.018,0.639,0.271
11847,Grant-Leon Ranos,FW,126.0,6.6,7.0,5.0,3.002,0.339,1.017,0.638,0.271
998,Ivan Toney,FW,1447.0,85.1,51.0,3.172,2.999,0.339,1.016,0.638,0.27
13210,Mohamed Meïté,FW,1027.0,35.4,37.0,3.242,2.999,0.339,1.016,0.638,0.27
461,Matt Ritchie,FW,97.0,7.5,6.0,5.567,2.996,0.339,1.015,0.638,0.27
12953,Igor Matanovic,FW,1811.0,38.5,62.0,3.081,2.952,0.343,1.013,0.637,0.269
11371,Ibrahim Salah,FW,851.0,23.0,31.0,3.278,2.989,0.339,1.013,0.637,0.269
10408,Luis Díaz,FW,7603.0,72.4,253.0,2.995,2.964,0.341,1.011,0.636,0.268
13267,Arkaitz Mariezkurrena,FW,220.0,22.0,10.0,4.091,2.981,0.339,1.01,0.636,0.268
1148,Duván Zapata,FW,4721.0,65.6,159.0,3.031,2.98,0.339,1.01,0.636,0.268
12302,Vitor Roque,FW,1550.0,43.1,54.0,3.135,2.979,0.339,1.009,0.636,0.268
10095,Abdessamad Ezzalzouli,FW,5152.0,57.9,173.0,3.022,2.975,0.339,1.008,0.635,0.267
10328,Edon Zhegrova,FW,3670.0,57.3,124.0,3.041,2.975,0.339,1.008,0.635,0.267
11984,Youssef Chermiti,FW,192.0,8.7,9.0,4.219,2.97,0.339,1.006,0.634,0.267
8294,El Bilal Touré,FW,708.0,30.8,26.0,3.305,2.968,0.339,1.006,0.634,0.266
10774,Adam Hlozek,FW,2349.0,42.7,80.0,3.065,2.964,0.339,1.004,0.634,0.266
8015,Rodrygo,FW,5024.0,60.5,168.0,3.01,2.962,0.339,1.004,0.634,0.266
12804,George Ilenikhena,FW,1015.0,26.7,36.0,3.192,2.96,0.339,1.003,0.633,0.265
9345,Ahmadou Bamba Dieng,FW,2264.0,40.4,77.0,3.061,2.957,0.339,1.002,0.633,0.265
6681,Harvey Barnes,FW,4425.0,48.6,148.0,3.01,2.957,0.339,1.002,0.633,0.265
12052,Aliou Balde,FW,134.0,11.2,7.0,4.701,2.955,0.339,1.001,0.633,0.265
9983,Beto,FW,4051.0,41.3,135.0,2.999,2.943,0.339,0.997,0.631,0.263
7074,Nicolás González,MF,5198.0,64.2,175.0,3.03,2.938,0.339,0.996,0.631,0.263
2306,Cédric Bakambu,FW,1400.0,29.8,49.0,3.15,2.977,0.334,0.996,0.63,0.263
8042,Raul García,FW,2927.0,28.4,98.0,3.013,2.936,0.339,0.995,0.63,0.262
1235,Ante Budimir,FW,8479.0,78.5,279.0,2.961,2.935,0.339,0.994,0.63,0.262
11324,Dion Beljo,FW,506.0,19.5,19.0,3.379,2.933,0.339,0.994,0.63,0.262
10562,Mario Dominguez,FW,15.0,5.0,3.0,18.0,2.933,0.339,0.994,0.63,0.262
9509,Daniel Jebbison,FW,77.0,4.5,5.0,5.844,2.929,0.339,0.992,0.629,0.261
1715,Álvaro Negredo,FW,16.0,2.3,3.0,16.875,2.925,0.339,0.991,0.629,0.261
488,Philippe Coutinho,FW,18.0,9.0,3.0,15.0,2.91,0.339,0.986,0.627,0.259
12066,Ethan Mbappé,FW,763.0,24.6,27.0,3.185,2.903,0.339,0.984,0.626,0.258
13823,Miguel Sierra,FW,50.0,12.5,4.0,7.2,2.903,0.339,0.984,0.626,0.258
7375,Roberto Piccoli,FW,6199.0,58.5,202.0,2.933,2.898,0.339,0.982,0.625,0.258
8875,Tolu Arokodare,FW,1357.0,41.1,46.0,3.051,2.895,0.339,0.981,0.625,0.257
14064,Roony Bardghji,FW,612.0,29.1,22.0,3.235,2.891,0.339,0.98,0.625,0.257
1136,Gianluca Lapadula,FW,1484.0,42.4,50.0,3.032,2.891,0.339,0.98,0.625,0.257
10975,Largie Ramazani,FW,2761.0,49.3,91.0,2.966,2.89,0.339,0.979,0.624,0.257
11831,Samu Omorodion,FW,2014.0,57.5,67.0,2.994,2.89,0.339,0.979,0.624,0.257
3786,Mathieu Cafaro,FW,862.0,34.5,30.0,3.132,2.889,0.339,0.979,0.624,0.256
14338,Jeremy Arévalo,FW,21.0,3.0,3.0,12.857,2.888,0.339,0.979,0.624,0.256
7203,Drissa Camara,FW,395.0,18.8,15.0,3.418,2.888,0.339,0.979,0.624,0.256
14082,Emersonn,FW,1517.0,56.2,51.0,3.026,2.888,0.339,0.979,0.624,0.256
3697,Odsonne Edouard,FW,3545.0,53.7,116.0,2.945,2.886,0.339,0.978,0.624,0.256
12335,Steve Ngoura,FW,458.0,22.9,17.0,3.341,2.885,0.339,0.978,0.624,0.256
5258,László Bénes,FW,522.0,22.7,19.0,3.276,2.88,0.339,0.976,0.623,0.255
6470,José Arnáiz,FW,1022.0,24.9,35.0,3.082,2.88,0.339,0.976,0.623,0.255
14013,Adam El Mokhtari,FW,85.0,12.1,5.0,5.294,2.877,0.339,0.975,0.623,0.255
14427,Alisson Santos,FW,836.0,59.7,29.0,3.122,2.877,0.339,0.975,0.623,0.255
6544,Lukas Nmecha,FW,1526.0,28.8,51.0,3.008,2.874,0.339,0.974,0.622,0.255
14217,Romelle Donovan,FW,23.0,5.8,3.0,11.739,2.873,0.339,0.974,0.622,0.255
11186,Alvaro Rodríguez,FW,3031.0,53.2,99.0,2.94,2.872,0.339,0.973,0.622,0.254
12923,Yusuf Kabadayi,FW,55.0,11.0,4.0,6.545,2.869,0.339,0.972,0.622,0.254
11363,Antoine Semenyo,FW,8580.0,80.2,279.0,2.927,2.902,0.334,0.97,0.621,0.253
12266,Samuel Bamba,FW,57.0,8.1,4.0,6.316,2.855,0.339,0.967,0.62,0.252
8292,Dani Olmo,FW,4817.0,61.0,157.0,2.933,2.89,0.334,0.966,0.62,0.252
12959,Ibrahima Wadji,FW,310.0,31.0,12.0,3.484,2.852,0.339,0.966,0.62,0.252
10427,Bambasé Conté,FW,26.0,3.7,3.0,10.385,2.851,0.339,0.966,0.619,0.252
14324,Iker Luque,FW,26.0,26.0,3.0,10.385,2.851,0.339,0.966,0.619,0.252
556,Marcus Rashford,FW,5466.0,60.7,173.0,2.849,2.815,0.343,0.966,0.619,0.252
13701,Ilyas Chaira,FW,2584.0,69.8,84.0,2.926,2.85,0.339,0.966,0.619,0.252
10771,Ben Seghir,MF,2432.0,41.9,82.0,3.035,2.849,0.339,0.965,0.619,0.252
10831,Mostafa Mohamed,FW,4420.0,53.3,142.0,2.891,2.847,0.339,0.965,0.619,0.251
11746,Pejiño,FW,501.0,27.8,18.0,3.234,2.846,0.339,0.965,0.619,0.251
1126,M'Baye Niang,FW,692.0,49.4,24.0,3.121,2.843,0.339,0.963,0.618,0.251
12164,Adama Bojang,FW,59.0,6.6,4.0,6.102,2.842,0.339,0.963,0.618,0.251
9780,Mathys Tel,FW,3455.0,42.1,111.0,2.891,2.836,0.339,0.961,0.618,0.25
9646,Mohamed Bayo,FW,1742.0,51.2,57.0,2.945,2.836,0.339,0.961,0.617,0.25
7747,Mama Baldé,FW,2410.0,36.0,78.0,2.913,2.834,0.339,0.96,0.617,0.25
9872,Kaio Jorge,FW,791.0,39.6,27.0,3.072,2.833,0.339,0.96,0.617,0.25
13471,Soriba Diaoune,MF,160.0,16.0,10.0,5.625,2.832,0.339,0.96,0.617,0.249
10846,Julián Álvarez,FW,7151.0,70.1,224.0,2.819,2.795,0.343,0.959,0.617,0.249
11360,Paul Onuachu,FW,1015.0,40.6,34.0,3.015,2.83,0.339,0.959,0.617,0.249
6055,Phil Foden,FW,6748.0,70.3,214.0,2.854,2.827,0.339,0.958,0.616,0.249
10952,Joel Roca,FW,1463.0,45.7,48.0,2.953,2.825,0.339,0.957,0.616,0.249
12367,Gift Orban,FW,3379.0,59.3,108.0,2.877,2.822,0.339,0.956,0.616,0.248
7020,Gorka Guruzeta,FW,6578.0,63.9,208.0,2.846,2.818,0.339,0.955,0.615,0.248
5074,Kike García,FW,5687.0,54.2,180.0,2.849,2.816,0.339,0.954,0.615,0.247
11306,Cyril Ngonge,FW,3355.0,42.5,107.0,2.87,2.816,0.339,0.954,0.615,0.247
12334,Kingstone Mutandwa,FW,127.0,11.5,6.0,4.252,2.815,0.339,0.954,0.615,0.247
1078,Sergi Canos,MF,1571.0,35.7,54.0,3.094,2.813,0.339,0.953,0.614,0.247
1826,Nicola Sansone,FW,768.0,25.6,26.0,3.047,2.811,0.339,0.953,0.614,0.247
1294,Paulo Dybala,FW,4802.0,64.9,152.0,2.849,2.811,0.339,0.953,0.614,0.247
6348,Jann-Fiete Arp,FW,608.0,27.6,21.0,3.109,2.811,0.339,0.953,0.614,0.247
10048,Nicolas Jackson,FW,6103.0,69.4,194.0,2.861,2.83,0.337,0.953,0.614,0.247
14455,Uchenna Ogundu,FW,33.0,6.6,3.0,8.182,2.802,0.339,0.949,0.613,0.246
9762,Milutin Osmajic,FW,1.0,1.0,2.0,180.0,2.801,0.339,0.949,0.613,0.246
11974,Benjamin Sesko,FW,5595.0,59.5,176.0,2.831,2.8,0.339,0.949,0.613,0.245
9490,Matthis Abline,FW,6372.0,72.4,200.0,2.825,2.797,0.339,0.948,0.612,0.245
14005,Ioan Vermesan,FW,66.0,11.0,4.0,5.455,2.796,0.339,0.948,0.612,0.245
4918,Patrick Cutrone,FW,2966.0,61.8,94.0,2.852,2.794,0.339,0.947,0.612,0.245
13828,Amady Camara,FW,131.0,13.1,6.0,4.122,2.793,0.339,0.946,0.612,0.245
11013,Naatan Skyttä,FW,99.0,11.0,5.0,4.545,2.791,0.339,0.946,0.612,0.244
5706,Dodi Lukebakio,FW,4419.0,70.1,138.0,2.811,2.773,0.341,0.945,0.611,0.244
11399,Jeffinho,FW,293.0,29.3,11.0,3.379,2.789,0.339,0.945,0.611,0.244
7973,Marco Mancosu,FW,164.0,27.3,7.0,3.841,2.789,0.339,0.945,0.611,0.244
13271,Adrián Arnu,FW,35.0,7.0,3.0,7.714,2.788,0.339,0.945,0.611,0.244
11487,Michael Olakigbe,FW,35.0,4.4,3.0,7.714,2.788,0.339,0.945,0.611,0.244
5988,Ibrahima Niane,FW,907.0,37.8,30.0,2.977,2.787,0.339,0.944,0.611,0.244
1424,Federico Bernardeschi,FW,1198.0,41.3,39.0,2.93,2.786,0.339,0.944,0.611,0.244
12344,Anthony Bermont,FW,68.0,6.8,4.0,5.294,2.783,0.339,0.943,0.611,0.243
10794,Thijs Dallinga,FW,4435.0,51.0,139.0,2.821,2.782,0.339,0.943,0.61,0.243
2711,Aleksey Miranchuk,FW,1168.0,43.3,38.0,2.928,2.782,0.339,0.943,0.61,0.243
6686,Nicolo Zaniolo,FW,3793.0,47.4,119.0,2.824,2.779,0.339,0.942,0.61,0.243
13906,Nordan Mukiele,FW,69.0,8.6,4.0,5.217,2.777,0.339,0.941,0.61,0.243
11465,Stredair Appuah,FW,69.0,17.2,4.0,5.217,2.777,0.339,0.941,0.61,0.243
14407,Nathan Mbala,FW,426.0,32.8,15.0,3.169,2.775,0.339,0.94,0.61,0.242
10542,Jamie Bynoe-Gittens,FW,3316.0,45.4,104.0,2.823,2.772,0.339,0.939,0.609,0.242
468,Callum Wilson,FW,2505.0,35.8,79.0,2.838,2.772,0.339,0.939,0.609,0.242
10402,Matías Arezo,FW,331.0,23.6,12.0,3.263,2.766,0.339,0.937,0.608,0.241
8865,Ollie Watkins,FW,8824.0,78.8,273.0,2.784,2.766,0.339,0.937,0.608,0.241
13220,Tom Edozie,FW,6.0,2.0,2.0,30.0,2.764,0.339,0.937,0.608,0.241
13453,Santiago Giménez,FW,1570.0,52.3,50.0,2.866,2.762,0.339,0.936,0.608,0.241
9002,Vedat Muriqi,FW,7566.0,79.6,234.0,2.784,2.762,0.339,0.936,0.608,0.241
9562,Sacha Delaye,FW,104.0,11.6,5.0,4.327,2.762,0.339,0.936,0.608,0.241
5752,Alexis Claude Maurice,FW,4765.0,63.5,148.0,2.795,2.761,0.339,0.936,0.608,0.241
12379,Elayis Tavsan,FW,39.0,13.0,3.0,6.923,2.761,0.339,0.936,0.608,0.241
13775,Estêvão,FW,854.0,38.8,28.0,2.951,2.761,0.339,0.936,0.608,0.241
13451,Konan N’Dri,MF,759.0,20.0,28.0,3.32,2.759,0.339,0.935,0.607,0.24
5159,Marc Cardona,FW,790.0,21.4,26.0,2.962,2.758,0.339,0.935,0.607,0.24
