team_name,elo
Somalia,1060.47490512801
Taiwan,1058.7848142190364
Tonga,1056.3509784270814
Cayman Islands,1016.2056307974096
British Virgin Islands,1011.723197898676
Sri Lanka,1011.6230567143726
Seychelles,1010.9797256873915
Maldives,998.0747058494286
Mongolia,981.4421949936848
Guam,974.9248743356159
Northern Mariana Islands,967.9808082446496
Liechtenstein,949.2336610209962
Turks and Caicos Islands,945.1117296088498
United States Virgin Islands,939.2738304040564
Laos,938.6158408623443
Bahamas,928.8266986721172
American Samoa,919.9529912802832
San Marino,917.165286104416
Timor-Leste,904.7355386731539
Brunei,890.5726845860065
Anguilla,878.0610021309806
Bhutan,860.1330373610646
Macau,838.6706447981921
